,mud,rho,delta1,HM_CI_L,HM_CI_U,DL_CI_L,DL_CI_U,BA_CI_L,BA_CI_U,delta2,LI_CI_L,LI_CI_U,delta3,HE_CI_L,HE_CI_U,HE_CIvst_L,HE_CIvst_U
1,0.4,-0.8,0.210464444,0.061037044,0.359891845,0.065896432,0.355032457,0.066442845,0.354486044,0.207282444,0.070548936,0.347222252,0.203602356,0.063111195,0.344093517,0.089283228,0.370265551
2,0.4,-0.7,0.166913333,0.015809489,0.318017178,0.024107593,0.309719073,0.024501541,0.309325126,0.16340252,0.028091801,0.300539525,0.161640938,0.023157625,0.300124251,0.055668959,0.332641523
3,0.4,-0.6,0.145586667,-0.00608643,0.297259763,0.003477052,0.287696282,0.003807522,0.287365812,0.142543657,0.008358725,0.278007124,0.142804793,0.004813442,0.280796144,0.041721674,0.317785346
4,0.4,-0.5,0.129144444,-0.021445654,0.279734543,-0.010171784,0.268460673,-0.009928802,0.268217691,0.127411279,-0.003968157,0.260534321,0.128087448,-0.006424803,0.262599699,0.032393505,0.301498758
5,0.4,-0.4,0.122221111,-0.02714356,0.271585782,-0.014621062,0.259063284,-0.014460899,0.258903121,0.119605393,-0.009904577,0.250637798,0.121917391,-0.009897765,0.253732547,0.029383055,0.293090717
6,0.4,-0.3,0.112742222,-0.036041067,0.261525512,-0.022842673,0.248327117,-0.022724129,0.248208573,0.111942235,-0.015848368,0.241342788,0.115463479,-0.014191391,0.24511835,0.026139671,0.285588636
7,0.4,-0.2,0.111863333,-0.038471709,0.262198376,-0.02590133,0.249627997,-0.025737739,0.249464405,0.110910176,-0.018680191,0.241737872,0.116249624,-0.013641835,0.246141082,0.026611128,0.286479946
8,0.4,-0.1,0.108324445,-0.040824913,0.257473802,-0.027192255,0.243841144,-0.02707975,0.243728639,0.105565399,-0.021604862,0.23421093,0.114886023,-0.011697944,0.241469989,0.027315253,0.280592068
9,0.4,0,0.104423333,-0.045508843,0.25435551,-0.032018399,0.240865065,-0.031893177,0.240739844,0.103221511,-0.024992642,0.232968638,0.114942681,-0.008897828,0.23878319,0.028872911,0.276055942
10,0.4,0.1,0.098767778,-0.049846846,0.247382402,-0.035545789,0.233081344,-0.035482193,0.233017749,0.097988123,-0.027962867,0.225325216,0.113640157,-0.006781596,0.23406191,0.02993523,0.270069818
11,0.4,0.2,0.100886667,-0.048335664,0.250108998,-0.034349683,0.236123017,-0.034262086,0.23603542,0.099626165,-0.027481673,0.228016445,0.122416181,0.004901769,0.239930592,0.037670866,0.272129493
12,0.4,0.3,0.097545556,-0.050959715,0.246050826,-0.037030609,0.23212172,-0.036957297,0.232048408,0.096824758,-0.029206977,0.224142094,0.123312019,0.007302922,0.239321116,0.039836528,0.269700028
13,0.4,0.4,0.096407778,-0.051193367,0.244008923,-0.036033803,0.228849359,-0.036022418,0.228837973,0.094762078,-0.030058382,0.220924739,0.129835997,0.016507329,0.243164665,0.045640705,0.270073219
14,0.4,0.5,0.092461111,-0.05438688,0.239309102,-0.03946492,0.224387142,-0.039465006,0.224387228,0.091550264,-0.031842447,0.216629469,0.133417583,0.019878096,0.24695707,0.049379821,0.272778968
15,0.4,0.6,0.092337778,-0.055422115,0.240097671,-0.040098489,0.224774044,-0.040090172,0.224765727,0.090852052,-0.033475685,0.216417253,0.134475483,0.018523842,0.250427123,0.051121707,0.278094355
16,0.4,0.7,0.088261111,-0.057710007,0.234232229,-0.041863804,0.218386027,-0.041912494,0.218434716,0.088702661,-0.033804997,0.212487933,0.124156223,0.006076596,0.24223585,0.044874333,0.272353419
17,0.4,0.8,0.089617778,-0.056935746,0.236171302,-0.041271963,0.220507518,-0.041310891,0.220546446,0.088574817,-0.034009141,0.212468768,0.103568733,-0.019857972,0.226995438,0.027468866,0.267244422
