,mud,rho,delta1,HM_CI_L,HM_CI_U,DL_CI_L,DL_CI_U,BA_CI_L,BA_CI_U,delta2,LI_CI_L,LI_CI_U,delta3,HE_CI_L,HE_CI_U,HE_CIvst_L,HE_CIvst_U
1,0.65,-0.8,0.268517778,0.121714505,0.415321051,0.123625316,0.413410239,0.124341926,0.412693629,0.26430164,0.128274205,0.405511737,0.260853289,0.119933802,0.401772776,0.139816442,0.421655416
2,0.65,-0.7,0.217812222,0.068437357,0.367187088,0.073380813,0.362243632,0.07393791,0.361686534,0.214278737,0.077471988,0.354725679,0.212255988,0.071423647,0.353088328,0.096444329,0.378109117
3,0.65,-0.6,0.19235,0.041539911,0.343160089,0.04751572,0.33718428,0.048018487,0.336681513,0.188095259,0.051074557,0.327708882,0.188759146,0.047531666,0.329986626,0.076270124,0.3587331
4,0.65,-0.5,0.163435556,0.013576533,0.313294578,0.021876253,0.304994858,0.022251829,0.304619283,0.161102569,0.027225488,0.29729095,0.161519563,0.024627609,0.298411517,0.056655223,0.330477425
5,0.65,-0.4,0.149544444,-0.000962529,0.300051418,0.008929475,0.290159414,0.009242062,0.289846827,0.147012531,0.01394337,0.281865223,0.150040466,0.014697469,0.285383464,0.048636514,0.319357012
6,0.65,-0.3,0.139818889,-0.011386859,0.291024637,-0.000909621,0.280547399,-0.000615733,0.280253511,0.137403186,0.004361097,0.272023616,0.142008077,0.008808259,0.275207896,0.044302279,0.310776213
7,0.65,-0.2,0.130084444,-0.019620572,0.279789461,-0.008538798,0.268707687,-0.008311732,0.26848062,0.128104839,-0.002473504,0.260456042,0.135625765,0.006265578,0.264985952,0.041052048,0.299815326
8,0.65,-0.1,0.125554445,-0.025245473,0.276354362,-0.013225585,0.264334474,-0.01301421,0.264123099,0.123644922,-0.007744009,0.256318057,0.134289735,0.00733783,0.261241639,0.041742687,0.295385744
9,0.65,0,0.121404444,-0.029149074,0.271957963,-0.016995353,0.259804242,-0.016794127,0.259603016,0.119175778,-0.011383346,0.251192376,0.133815521,0.010548506,0.257082536,0.043194296,0.289765396
10,0.65,0.1,0.114203333,-0.035782287,0.264188953,-0.023103125,0.251509791,-0.022933128,0.251339795,0.113473011,-0.01605754,0.244270088,0.133727319,0.013524045,0.253930592,0.044938412,0.285101181
11,0.65,0.2,0.114044445,-0.036198285,0.264287174,-0.023617958,0.251706847,-0.023452613,0.251541502,0.112339656,-0.01704633,0.243032474,0.140416614,0.023590933,0.257242296,0.051770443,0.28543879
12,0.65,0.3,0.111284444,-0.038879563,0.261448452,-0.026375613,0.248944502,-0.026211056,0.248779945,0.110689596,-0.018484835,0.241260645,0.144763822,0.030285786,0.259241859,0.057643771,0.285169871
13,0.65,0.4,0.109186667,-0.040026686,0.258400019,-0.026511194,0.244884528,-0.026401278,0.244774611,0.107381059,-0.020505491,0.236809799,0.149528885,0.036917668,0.262140102,0.062488144,0.285962315
14,0.65,0.5,0.105442222,-0.043549305,0.254433749,-0.02990033,0.240784774,-0.029799689,0.240684134,0.10501772,-0.022389882,0.23406716,0.157670645,0.044953114,0.270388175,0.06954686,0.292613951
15,0.65,0.6,0.106318889,-0.042745781,0.255383559,-0.02937452,0.242012298,-0.02926695,0.241904728,0.104907977,-0.022611139,0.23413163,0.157976019,0.042610446,0.273341592,0.070781806,0.29511303
16,0.65,0.7,0.102822222,-0.046358002,0.252002447,-0.032362591,0.238007036,-0.032273957,0.237918402,0.102937324,-0.024300844,0.231628212,0.151131033,0.032958885,0.26930318,0.065723966,0.293848459
17,0.65,0.8,0.106451111,-0.044001877,0.256904099,-0.030015795,0.242918017,-0.029897075,0.242799297,0.105205596,-0.023494691,0.235085926,0.129676931,0.006550125,0.252803736,0.049096009,0.283838636
