"","FINAL.mud","FINAL.rho","FINAL..LRT.pval.","FINAL.delta1","HM","DL","BA","FINAL.delta2","LI","FINAL.delta3","HE1","HE2"
"61",0.55,0.1,0.033987027,0.110133333,"O","O","O",0.108600329,"O",0.126592566,"X","X"
"62",0.55,0.2,0.041014151,0.105995556,"O","O","O",0.104648871,"O",0.129641791,"X","X"
"63",0.55,0.3,0.05832685,0.105412222,"O","O","O",0.103884764,"O",0.137066318,"X","X"
"64",0.55,0.4,0.082020872,0.102964444,"O","O","O",0.101711042,"O",0.140600867,"X","X"
"65",0.55,0.5,0.094265315,0.101504444,"O","O","O",0.100823819,"O",0.148802623,"X","X"
"66",0.55,0.6,0.121036425,0.098302222,"O","O","O",0.097867566,"O",0.147479516,"X","X"
"67",0.55,0.7,0.153282443,0.096767778,"O","O","O",0.095682655,"O",0.141647174,"X","X"
"68",0.55,0.8,0.15419179,0.097644444,"O","O","O",0.096850277,"O",0.122268114,"X","X"
"69",0.6,-0.8,2.22e-08,0.253788889,"X","X","X",0.250449779,"X",0.245906873,"X","X"
"70",0.6,-0.7,2.8e-06,0.209577778,"X","X","X",0.206124683,"X",0.204024382,"X","X"
"71",0.6,-0.6,4.12e-05,0.177011111,"X","X","X",0.174843514,"X",0.173668441,"X","X"
"72",0.6,-0.5,0.000234679,0.157558889,"X","X","X",0.155505331,"X",0.155762099,"X","X"
"73",0.6,-0.4,0.000723989,0.142307778,"O","X","X",0.139851702,"X",0.142276706,"X","X"
"74",0.6,-0.3,0.002266733,0.13299,"O","O","O",0.131128386,"O",0.135969891,"X","X"
"75",0.6,-0.2,0.005669132,0.126336667,"O","O","O",0.12468931,"O",0.131703955,"X","X"
"76",0.6,-0.1,0.008292501,0.118353333,"O","O","O",0.117189522,"O",0.126515346,"O","X"
"77",0.6,0,0.015451195,0.114556667,"O","O","O",0.113263743,"O",0.127159259,"X","X"
"78",0.6,0.1,0.022515956,0.113305556,"O","O","O",0.111910464,"O",0.130931857,"X","X"
"79",0.6,0.2,0.028464869,0.110727778,"O","O","O",0.109563975,"O",0.135216582,"X","X"
"80",0.6,0.3,0.043147583,0.111355556,"O","O","O",0.109485389,"O",0.14309677,"X","X"
"81",0.6,0.4,0.053402075,0.104568889,"O","O","O",0.104404193,"O",0.145784207,"X","X"
"82",0.6,0.5,0.067262838,0.10444,"O","O","O",0.104334671,"O",0.153239849,"X","X"
"83",0.6,0.6,0.076094553,0.100347778,"O","O","O",0.099386256,"O",0.151013922,"X","X"
"84",0.6,0.7,0.101754311,0.101751111,"O","O","O",0.100754582,"O",0.150242234,"X","X"
"85",0.6,0.8,0.109475712,0.100525556,"O","O","O",0.099600733,"O",0.129834828,"X","X"
"86",0.65,-0.8,8.29e-09,0.268517778,"X","X","X",0.26430164,"X",0.260853289,"X","X"
"87",0.65,-0.7,9.81e-07,0.217812222,"X","X","X",0.214278737,"X",0.212255988,"X","X"
"88",0.65,-0.6,1.76e-05,0.19235,"X","X","X",0.188095259,"X",0.188759146,"X","X"
"89",0.65,-0.5,0.000121114,0.163435556,"X","X","X",0.161102569,"X",0.161519563,"X","X"
"90",0.65,-0.4,0.000430913,0.149544444,"O","X","X",0.147012531,"X",0.150040466,"X","X"
"91",0.65,-0.3,0.001103811,0.139818889,"O","O","O",0.137403186,"X",0.142008077,"X","X"
