,mud,rho,delta1,HM_CI_L,HM_CI_U,DL_CI_L,DL_CI_U,BA_CI_L,BA_CI_U,delta2,LI_CI_L,LI_CI_U,delta3,HE_CI_L,HE_CI_U,HE_CIvst_L,HE_CIvst_U
1,0.6,-0.8,0.253788889,0.106361804,0.401215974,0.108660371,0.398917407,0.109349397,0.398228381,0.250449779,0.114097314,0.391667601,0.245906873,0.104781127,0.387032619,0.126015465,0.408266957
2,0.6,-0.7,0.209577778,0.059064917,0.360090638,0.0637506,0.355404956,0.064317482,0.354838074,0.206124683,0.068488604,0.346898092,0.204024382,0.062045983,0.346002782,0.088685121,0.372663074
3,0.6,-0.6,0.177011111,0.02650466,0.327517562,0.033904753,0.32011747,0.03433668,0.319685542,0.174843514,0.039486165,0.312842724,0.173668441,0.034756696,0.312580186,0.065265414,0.343107031
4,0.6,-0.5,0.157558889,0.006995649,0.308122129,0.015894165,0.299223613,0.016243758,0.29887402,0.155505331,0.021404398,0.291591671,0.155762099,0.01869184,0.292832358,0.052240617,0.326469972
5,0.6,-0.4,0.142307778,-0.008082955,0.29269851,0.002102246,0.28251331,0.002391608,0.282223948,0.139851702,0.007479518,0.274073458,0.142276706,0.007653957,0.276899457,0.043171368,0.312459528
6,0.6,-0.3,0.13299,-0.018255287,0.284235287,-0.007469775,0.273449776,-0.007192303,0.273172303,0.131128386,-0.001743354,0.265285217,0.135969891,0.001983874,0.269955909,0.038702086,0.306781633
7,0.6,-0.2,0.126336667,-0.024889956,0.27756329,-0.013564131,0.266237465,-0.013317131,0.265990465,0.12468931,-0.007394845,0.258126831,0.131703955,0.000832668,0.262575241,0.037322914,0.299187739
8,0.6,-0.1,0.118353333,-0.0315763,0.268282967,-0.019740558,0.256447225,-0.019546797,0.256253464,0.117189522,-0.012594611,0.248513062,0.126515346,-0.001019577,0.254050268,0.035546167,0.290678697
9,0.6,0,0.114556667,-0.035828703,0.264942036,-0.023073466,0.2521868,-0.022904428,0.252017761,0.113263743,-0.016413898,0.244356592,0.127159259,0.003536083,0.250782435,0.037949862,0.285240865
10,0.6,0.1,0.113305556,-0.036229487,0.262840598,-0.023289007,0.249900118,-0.023144436,0.249755547,0.111910464,-0.016768665,0.242370536,0.130931857,0.011482454,0.250381259,0.042914487,0.281825946
11,0.6,0.2,0.110727778,-0.040037941,0.261493497,-0.027551204,0.24900676,-0.027371362,0.248826918,0.109563975,-0.020119106,0.240685948,0.135216582,0.016918946,0.253514219,0.047752281,0.283090619
12,0.6,0.3,0.111355556,-0.039237109,0.26194822,-0.026401067,0.249112178,-0.026240747,0.248951858,0.109485389,-0.020003895,0.240288179,0.14309677,0.028197514,0.257996026,0.05589379,0.283910349
13,0.6,0.4,0.104568889,-0.044423026,0.253560804,-0.030408168,0.239545946,-0.030309885,0.239447663,0.104404193,-0.022845447,0.233177112,0.145784207,0.03275618,0.258812234,0.059297895,0.282956179
14,0.6,0.5,0.10444,-0.045951913,0.254831913,-0.032286221,0.241166221,-0.032159221,0.241039222,0.104334671,-0.024295768,0.234297382,0.153239849,0.038997008,0.26748269,0.064260206,0.290439701
15,0.6,0.6,0.100347778,-0.048695062,0.249390618,-0.034863589,0.235559145,-0.034774602,0.235470158,0.099386256,-0.027429447,0.227442704,0.151013922,0.035350527,0.266677316,0.065335867,0.290135127
16,0.6,0.7,0.101751111,-0.047449121,0.250951344,-0.033608246,0.237110468,-0.033513151,0.237015373,0.100754582,-0.02651653,0.229302254,0.150242234,0.032626826,0.267857641,0.062934215,0.292405263
17,0.6,0.8,0.100525556,-0.047266263,0.248317374,-0.032855227,0.233906338,-0.032812405,0.233863516,0.099600733,-0.025614983,0.22619532,0.129834828,0.008133279,0.251536376,0.048197131,0.28319259
