,mud,rho,delta1,HM_CI_L,HM_CI_U,DL_CI_L,DL_CI_U,BA_CI_L,BA_CI_U,delta2,LI_CI_L,LI_CI_U,delta3,HE_CI_L,HE_CI_U,HE_CIvst_L,HE_CIvst_U
1,0.55,-0.8,0.247295556,0.09908742,0.395503691,0.101966566,0.392624545,0.102633187,0.391957924,0.244282116,0.107262016,0.385671776,0.239921106,0.098454394,0.381387819,0.120518547,0.403451972
2,0.55,-0.7,0.20046,0.050547269,0.350372731,0.056695695,0.344224305,0.057191191,0.343728808,0.197742659,0.061497901,0.337242678,0.194550066,0.055059945,0.334040188,0.081984424,0.360980251
3,0.55,-0.6,0.170497778,0.019053892,0.321941663,0.026630407,0.314365148,0.02706092,0.313934636,0.168411639,0.032371649,0.306556448,0.167780503,0.027754921,0.307806085,0.059711399,0.339803208
4,0.55,-0.5,0.14971,-0.001930983,0.301350983,0.007857134,0.291562865,0.008193998,0.291226002,0.147036235,0.012525743,0.283520342,0.148080566,0.011080257,0.285080875,0.045680125,0.319713226
5,0.55,-0.4,0.13587,-0.014052135,0.285792135,-0.002967074,0.274707074,-0.002727412,0.274467412,0.134197554,0.002858171,0.26736506,0.136447182,0.002908312,0.269986052,0.039153999,0.306284423
6,0.55,-0.3,0.125654444,-0.024404346,0.275713235,-0.012515347,0.263824236,-0.012311184,0.263620073,0.124277949,-0.006258832,0.256254718,0.128278928,-0.003068277,0.259626134,0.034770341,0.297623825
7,0.55,-0.2,0.123284444,-0.02658575,0.273154639,-0.014296806,0.260865694,-0.014117835,0.260686724,0.121801563,-0.008430895,0.253591932,0.127957959,-0.001862966,0.257778883,0.035193725,0.294884595
8,0.55,-0.1,0.117366667,-0.033008589,0.267741922,-0.020642618,0.255375951,-0.02046453,0.255197863,0.115061587,-0.014846846,0.246438474,0.124918411,-0.002103316,0.251940138,0.034453326,0.288543235
9,0.55,0,0.115734445,-0.035816096,0.267284985,-0.023210687,0.254679576,-0.02300955,0.254478439,0.112476503,-0.018429839,0.244520681,0.126718991,0.001740638,0.251697343,0.036714756,0.286749611
10,0.55,0.1,0.110133333,-0.038283416,0.258550083,-0.025315661,0.245582328,-0.02520516,0.245471827,0.108600329,-0.018666427,0.237379174,0.126592566,0.006489339,0.246695798,0.039529344,0.279136041
11,0.55,0.2,0.105995556,-0.042839627,0.254830738,-0.029332314,0.241323425,-0.029225154,0.241216265,0.104648871,-0.022531727,0.233304693,0.129641791,0.012744333,0.24653925,0.043754099,0.276725123
12,0.55,0.3,0.105412222,-0.043843739,0.254668184,-0.030113886,0.24093833,-0.030010291,0.240834735,0.103884764,-0.023543559,0.232618761,0.137066318,0.022481396,0.25165124,0.050940107,0.278987249
13,0.55,0.4,0.102964444,-0.04531407,0.251242959,-0.031466615,0.237395504,-0.031395132,0.237324021,0.101711042,-0.024352804,0.229203192,0.140600867,0.026589457,0.254612276,0.055204387,0.279827894
14,0.55,0.5,0.101504444,-0.048165157,0.251174045,-0.03418876,0.237197649,-0.034090708,0.237099597,0.100823819,-0.026768371,0.229870811,0.148802623,0.034823527,0.262781719,0.062186263,0.28561765
15,0.55,0.6,0.098302222,-0.050838335,0.247442779,-0.036613701,0.233218145,-0.036538389,0.233142833,0.097867566,-0.02893456,0.225962864,0.147479516,0.031649302,0.26330973,0.061308898,0.286761952
16,0.55,0.7,0.096767778,-0.051843723,0.245379279,-0.037126728,0.230662283,-0.037081626,0.230617181,0.095682655,-0.029669073,0.222367378,0.141647174,0.023930966,0.259363382,0.05771217,0.284684445
17,0.55,0.8,0.097644444,-0.051899838,0.247188727,-0.037583727,0.232872616,-0.037501859,0.232790748,0.096850277,-0.029945808,0.224861156,0.122268114,3.80E-05,0.24449827,0.044303913,0.276628642
