,mud,rho,delta1,HM_CI_L,HM_CI_U,DL_CI_L,DL_CI_U,BA_CI_L,BA_CI_U,delta2,LI_CI_L,LI_CI_U,delta3,HE_CI_L,HE_CI_U,HE_CIvst_L,HE_CIvst_U
1,0.45,-0.8,0.222162222,0.072318106,0.372006338,0.076820315,0.36750413,0.077406098,0.366918346,0.218315897,0.080763405,0.359427025,0.214498778,0.073287848,0.355709708,0.098055508,0.380477368
2,0.45,-0.7,0.178402222,0.027086484,0.32971796,0.034042884,0.322761561,0.034506326,0.322298118,0.175340683,0.039032684,0.31394264,0.173173979,0.033288551,0.313059408,0.064214876,0.344028644
3,0.45,-0.6,0.152411111,0.00051843,0.304303792,0.009314466,0.295507756,0.009692609,0.295129613,0.149576499,0.014559983,0.286058883,0.149520619,0.010280716,0.288760523,0.046221143,0.324833263
4,0.45,-0.5,0.138326667,-0.013189461,0.289842794,-0.002589545,0.279242876,-0.002300751,0.278954084,0.13625967,0.002891412,0.271251051,0.136790725,0.000481213,0.273100237,0.037704722,0.310349357
5,0.45,-0.4,0.122315556,-0.027108623,0.271739734,-0.014871941,0.259503052,-0.014704589,0.2593357,0.121548727,-0.007935834,0.252510115,0.122460029,-0.009243442,0.254163499,0.030110743,0.293672643
6,0.45,-0.3,0.116986667,-0.033295246,0.26726858,-0.020761076,0.254734409,-0.020587645,0.254560978,0.11625403,-0.013711025,0.247623232,0.119596825,-0.01184686,0.251040509,0.028446902,0.291480934
7,0.45,-0.2,0.114258889,-0.035118475,0.263636252,-0.022359451,0.250877229,-0.022208073,0.25072585,0.112301689,-0.016107768,0.242308969,0.118709942,-0.009621364,0.247041247,0.028965497,0.285695508
8,0.45,-0.1,0.112168889,-0.037726941,0.262064719,-0.024964531,0.249302309,-0.024811352,0.24914913,0.110043572,-0.018770179,0.240318205,0.11911091,-0.006833118,0.245054938,0.030855743,0.282877918
9,0.45,0,0.108495556,-0.041316228,0.258307339,-0.028412344,0.245403455,-0.028280376,0.245271487,0.105808628,-0.022549216,0.235655922,0.118309621,-0.006102492,0.242721734,0.030821874,0.279704531
10,0.45,0.1,0.102867778,-0.046569892,0.252305447,-0.032837693,0.238573248,-0.032739949,0.238475505,0.101669496,-0.025485762,0.230392195,0.118527854,-0.003309175,0.240364884,0.032298558,0.275744459
11,0.45,0.2,0.10021,-0.047547461,0.247967461,-0.033089372,0.233509372,-0.033046728,0.233466728,0.098416452,-0.026893591,0.225152287,0.12077164,0.004105935,0.237437345,0.037058952,0.269186608
12,0.45,0.3,0.098702222,-0.049929704,0.247334148,-0.03553558,0.232940025,-0.035478758,0.232883203,0.097997038,-0.028233878,0.225447442,0.125989947,0.010825682,0.241154213,0.042253128,0.270302383
13,0.45,0.4,0.098821111,-0.049456063,0.247098285,-0.034757276,0.232399498,-0.034713297,0.232355519,0.097652304,-0.028277633,0.224928246,0.135067034,0.021285638,0.248848431,0.049034302,0.275580022
14,0.45,0.5,0.095237778,-0.052536288,0.243011843,-0.037569304,0.22804486,-0.037555551,0.228031106,0.094668908,-0.030042786,0.220742413,0.140515602,0.026619838,0.254411366,0.055304858,0.278723227
15,0.45,0.6,0.09421,-0.053846296,0.242266296,-0.038928391,0.227348391,-0.038907792,0.227327792,0.092968467,-0.032295973,0.219441598,0.140247269,0.024131193,0.256363346,0.056713737,0.281038666
16,0.45,0.7,0.091705556,-0.055538881,0.238949992,-0.040384186,0.223795297,-0.040387933,0.223799044,0.091387882,-0.032693515,0.216752369,0.136920359,0.019368117,0.254472601,0.05407303,0.281362687
17,0.45,0.8,0.08768,-0.05829912,0.23365912,-0.042557512,0.217917512,-0.042609255,0.217969256,0.087357947,-0.034479333,0.210945155,0.115402078,-0.004616033,0.23542019,0.037721349,0.270949401
